SRC_SIGNGU_CD,RECORD_CODE,PROJ_CODE,SITE_CODE,UBPS_CODE,RECORD_TYPE,DRAWING_NO,RECORD_CODE_P,RECORD_CODE_T,DRAWING_STATUS_CODE,CLASSIFY_G,ZONE_NAME,AREA_PREV,AREA_VARI,AREA_CHANGE,AREA_AFTER,LOCATION_NAME,HOLD_PERIOD,DESCRIPT,D_NOTICE_CODE,P_NOTICE_CODE,FEATURE_EXIST_YN,FRST_REGIST_DT,LAST_UPDT_DT
46110,46110BTZ200007052133,46110PPL200007050129,46110,UBP_E1020200,PMA0001,4,,46110BTZ200007052133,PMC0003,UQT600,지적,0,1,991000,991000,목포시 석현동 일원,,,46110NTC200104100027,46110NTC200104100027,N,20250430,20250430
46110,46110BTZ200704053177,46110PPL200704050029,46110,UBP_E1020200,PMA0003,10,46110BTZ197603275537,46110BTZ196607145265,PMC0003,UQT600,삼향공원,67000,,,67000,목포시 석현동 일원,,,46110NTC200704050029,46110NTC200707200069,N,20250430,20250430
46110,46110BTZ200704053175,46110PPL200704050029,46110,UBP_E1020200,PMA0003,4,46110BTZ200007052133,46110BTZ200007052133,PMC0003,UQT600,지적,991000,,,991000,목포시 석현동 일원,,,46110NTC200707200069,46110NTC200707200069,N,20250430,20250430
46110,46110BTZ201407310014,46110PPL201407310232,46110,UBP_E1020200,PMA0003,4,46110BTZ200704053175,46110BTZ200007052133,PMC0003,UQT600,지적 도시자연공원구역,991000,2,6060,984940,목포시 석현동 일원,,,46110NTC201407310232,,N,20250430,20250430
46110,46110BTZ201802190010,46110PPL201802190537,46110,UBP_E1020200,PMA0003,4,46110BTZ201706010011,46110BTZ200007052133,PMC0003,UQT600,지적 도시자연공원구역,984006,2,4,984002,목포시 석현동 일원,,경미한 변경,46110NTC201802190537,46110NTC201802190537,Y,20250430,20250430
29000,29000BTZ200603070294,29000PPL200603070591,29000,UBP_A1020200,PMA0003,144,29000BTZ200308140293,29000BTZ200308140293,PMC0003,UDV100,신광,17834,1,3874,21708,삼도동310일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ200603070343,29000PPL200603070591,29000,UBP_A1020200,PMA0003,89,29000BTZ200308140341,29000BTZ200308140341,PMC0003,UDV100,연동,42217,1,54576,101793,고룡동80일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ201407010468,29000PPL201407010113,29000,UBP_A1020200,PMA0003,,29000BTZ201407010467,29000BTZ200304080004,PMC0002,UDV100,개발제한구역,247221000,2,7330,247214000,광주광역시 서구 일원,,서구 서창동∮ 세하동∮ 벽진동 일원,29000NTC201407010113,29000NTC201407010113,Y,20250430,20250430
29000,29000BTZ201407010474,29000PPL201407010119,29000,UBP_A1020200,PMA0003,,29000BTZ201407010473,29000BTZ200304080004,PMC0002,UDV100,개발제한구역,247193000,2,5718,247187000,광주광역시 남구 일원,,남구 압촌동∮ 지석동∮ 신장동 일원,29000NTC201407010119,29000NTC201407010119,Y,20250430,20250430
29000,29000BTZ200603070270,29000PPL200603070591,29000,UBP_A1020200,PMA0003,64,29000BTZ200308140269,29000BTZ200308140269,PMC0003,UDV100,생룡,61852,1,56534,118386,생룡동355-1일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ200603070356,29000PPL200603070591,29000,UBP_A1020200,PMA0003,179,29000BTZ200308140355,29000BTZ200308140355,PMC0003,UDV100,용곡,99800,1,77276,177076,용곡동159일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ200603070180,29000PPL200603070591,29000,UBP_A1020200,PMA0003,100,29000BTZ200308140179,29000BTZ200308140179,PMC0003,UDV100,도호,28319,1,18664,46983,도호동116-11일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ200603070230,29000PPL200603070591,29000,UBP_A1020200,PMA0003,107,29000BTZ200308140227,29000BTZ200308140227,PMC0003,UDV100,본촌,43308,1,2734,46042,동호동215일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ200603070155,29000PPL200603070591,29000,UBP_A1020200,PMA0003,51,29000BTZ200308140154,29000BTZ200308140154,PMC0003,UDV100,농막,48730,1,58231,106961,화장동482-1일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ199610250065,29000PPL199610253002,29000,UBP_K1020200,PMA0001,,,29000BTZ199610250065,PMC0003,UQQ999,광주신가지구택지개발사업지구,0,1,500066,500066,광주광산구신가∮신창동일원,,,29000NTC199610253002,,N,20250430,20250430
51170,42170BTZ200606300013,42170PPL200606300341,51170,UBP_K1020200,PMA0003,,42170BTZ200504160001,42170BTZ200504160001,PMC0003,UQQ100,동해월소 도시개발구역,69970,2,322,69648,동해시 묵호진동∮어달동 일원,,,42170NTC200606300543,,,20250430,20250430
29000,29000BTZ200603070264,29000PPL200603070591,29000,UBP_A1020200,PMA0003,148,29000BTZ200308140263,29000BTZ200308140263,PMC0003,UDV100,상흑,18632,1,8974,27606,선동359-1일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ201407010476,29000PPL201407010121,29000,UBP_A1020200,PMA0003,,29000BTZ201407010475,29000BTZ200304080004,PMC0002,UDV100,개발제한구역,247179000,2,6931,247172000,광주광역시 남구 일원,,남구 석정동∮ 화장동∮ 양촌동∮ 승촌동 일원,29000NTC201407010121,29000NTC201407010121,Y,20250430,20250430
29000,29000BTZ200603070475,29000PPL200603070591,29000,UBP_A1020200,PMA0003,145,29000BTZ200308140474,29000BTZ200308140474,PMC0003,UDV100,회룡,44523,1,33352,77875,삼도동70-1일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
29000,29000BTZ200603070298,29000PPL200603070591,29000,UBP_A1020200,PMA0003,105,29000BTZ200308140297,29000BTZ200308140297,PMC0003,UDV100,신동화산∮학동,31229,1,22069,53298,동산동991일원,,,29000NTC200603070591,29000NTC200603070591,N,20250430,20250430
