고유번호,법정동코드,법정동명,지번,대장구분코드,대장구분명,지목코드,지목,면적,소유구분코드,소유구분명,소유(공유)인수,축척구분코드,축척구분명,데이터기준일자,변동순번,입력구분,원천시도시군구코드
4715032021100950001,4715032021,경상북도 김천시 남면 옥산리,95-1,1,토지대장,08,대,265.0,01,개인,0,12,1:1200,2025-06-27,173455818,U,47150
4715042030104700001,4715042030,경상북도 김천시 지례면 여배리,470-1,1,토지대장,03,과수원,185.0,01,개인,0,12,1:1200,2025-06-27,173455812,U,47150
4715044027100260001,4715044027,경상북도 김천시 대덕면 추량리,26-1,1,토지대장,02,답,2653.0,01,개인,0,12,1:1200,2025-06-27,173455789,U,47150
4715039025108970000,4715039025,경상북도 김천시 감천면 금송리,897,1,토지대장,02,답,1722.0,01,개인,0,12,1:1200,2025-06-27,173455770,U,47150
4715039025108960000,4715039025,경상북도 김천시 감천면 금송리,896,1,토지대장,02,답,1841.0,01,개인,0,12,1:1200,2025-06-27,173451712,U,47150
4715045025102780000,4715045025,경상북도 김천시 증산면 평촌리,278,1,토지대장,01,전,1917.0,01,개인,0,12,1:1200,2025-06-27,173451685,U,47150
4715042028106360006,4715042028,경상북도 김천시 지례면 이전리,636-6,1,토지대장,28,잡종지,850.0,01,개인,0,12,1:1200,2025-06-27,173451684,U,47150
4715042028106360004,4715042028,경상북도 김천시 지례면 이전리,636-4,1,토지대장,28,잡종지,673.0,01,개인,0,12,1:1200,2025-06-27,173451657,U,47150
4715042028106360005,4715042028,경상북도 김천시 지례면 이전리,636-5,1,토지대장,28,잡종지,693.0,01,개인,0,12,1:1200,2025-06-27,173451631,U,47150
4715042028106360001,4715042028,경상북도 김천시 지례면 이전리,636-1,1,토지대장,28,잡종지,822.0,01,개인,0,12,1:1200,2025-06-27,173438555,U,47150
4715042028106360003,4715042028,경상북도 김천시 지례면 이전리,636-3,1,토지대장,28,잡종지,770.0,01,개인,0,12,1:1200,2025-06-27,173438513,U,47150
4715042028106360002,4715042028,경상북도 김천시 지례면 이전리,636-2,1,토지대장,28,잡종지,689.0,01,개인,0,12,1:1200,2025-06-27,173438486,U,47150
